StudentID,FirstName,Height,DegreeType,IQ
s829041,Joshua,178.5158417262137,PG,82.35774051712804
s829042,Sabeeka,170.19719945080578,PG,97.73964952657623
s829043,Justina,158.32818731479347,PG,86.0794552436156
s829044,Orion,184.9316025506705,UG,NA
s829045,Ishmael,191.1367641929537,PG,88.69175274978113
s829046,Daisy,189.827187217772,PG,93.08651646897225
s829047,Savannah,163.91540582105517,UG,95.59075150404468
s829048,Deangelo,188.71665135771036,UG,95.66565342845429
s829049,Austin,179.73759316653013,UG,108.31253552415427
s829050,Zarqaa,161.2118016257882,PG,100.37975584252982
s829051,Jesse,0,PG,110.54626884298227
s829052,Shania,165.93811194226146,PG,103.3077276301187
s829053,Sanad,153.77606576122344,UG,90.7118953709928
s829054,Dawn,180.51060213521123,UG,84.702929569126
s829055,Jonny,180.11340325511992,UG,103.36940636613905
s829056,Jordan,154.21843016333878,PG,89.43141552693807
s829057,Theresa,175.47802560776472,PG,119.29769314807129
s829058,Tashaun,180.1532892677933,UG,99.0279834912734
s829059,Isaiah,172.52285310812294,UG,105.32154131896044
s829060,Jumaima,154.6007787976414,PG,103.21318123459848
s829061,Badri,161.3224428407848,PG,78.53032033269307
s829062,Samantha,168.3057940080762,UG,92.58676585469414
s829063,Kevin,184.42426159791648,PG,104.21417221279644
s829064,Logan,158.08858578838408,PG,127.08175241791189
s829065,Daniel,181.07095937989652,UG,109.77382124883003
s829066,Rahma,166.54398250207305,UG,95.23313132917215
s829067,Ashley,0,PG,109.8185468890356
s829068,Yaasir,160.54934241622686,UG,104.39409505265543
s829069,Saajida,171.83453237451613,UG,117.66388871107456
s829070,Jake,189.9484439175576,PG,71.16576212649875
